stem,pos,description
yo‘rma,VERB,Verb {Fe'l}
yo‘rmachi,NOUN,Noun {Ot}
yo‘rmado‘z,NOUN,Noun {Ot}
yo‘rmado‘zchi,NOUN,Noun {Ot}
yo‘rmado‘zchilik,NOUN,Noun {Ot}
yo‘rmado‘zi,NOUN,Noun {Ot}
yo‘rmado‘zlik,NOUN,Noun {Ot}
yo‘rmak,NOUN,Noun {Ot}
yo‘rmala,VERB,Verb {Fe'l}
yo‘rmalan,VERB,Verb {Fe'l}
yo‘rmalik,NOUN,Noun {Ot}
yo‘rt,VERB,Verb {Fe'l}
yo‘rta-yo‘rta,NOUN,Noun {Ot}
yo‘rtish,NOUN,Noun {Ot}
yo‘rtmachoq,NOUN,Noun {Ot}
yo‘rtoq,NOUN,Noun {Ot}
yo‘rtoqi,NOUN,Noun {Ot}
yo‘rtoqilik,NOUN,Noun {Ot}
yo‘rtoqlan,VERB,Verb {Fe'l}
yo‘rtoqlanish,NOUN,Noun {Ot}
yo‘rttir,VERB,Verb {Fe'l}
yo‘rttirish,NOUN,Noun {Ot}
yo‘rttiruv,NOUN,Noun {Ot}
yo‘rtuv,NOUN,Noun {Ot}
yo‘sin,NOUN,Noun {Ot}
yo‘sinshunos,NOUN,Noun {Ot}
yo‘sinshunoslik,NOUN,Noun {Ot}
yo‘sinsimonlar,NOUN,Noun {Ot}
yo‘tal,NOUN,Noun {Ot}
yo‘tal,VERB,Verb {Fe'l}
yo‘tala-yo‘tala,NOUN,Noun {Ot}
yo‘talish,NOUN,Noun {Ot}
yo‘talish,VERB,Verb {Fe'l}
yo‘taltir,VERB,Verb {Fe'l}
yo‘taltirish,NOUN,Noun {Ot}
yo‘taltiruv,NOUN,Noun {Ot}
yo‘taluv,NOUN,Noun {Ot}
yo‘y,VERB,Verb {Fe'l}
yo‘ydir,VERB,Verb {Fe'l}
yo‘ydirish,NOUN,Noun {Ot}
yo‘yil,VERB,Verb {Fe'l}
yo‘yilish,NOUN,Noun {Ot}
yo‘yish,NOUN,Noun {Ot}
yo‘yish,VERB,Verb {Fe'l}
yo‘ymoqlik,NOUN,Noun {Ot}
yuan,NOUN,Noun {Ot}
yubiley,NOUN,Noun {Ot}
yubilyar,NOUN,Noun {Ot}
yubka,NOUN,Noun {Ot}
yubkabop,NOUN,Noun {Ot}
yubkali,NOUN,Noun {Ot}
yubkasiz,NOUN,Noun {Ot}
yubkasizlik,NOUN,Noun {Ot}
yubor,AUX,Yordamchi fe'l
yubor,VERB,Verb {Fe'l}
yuboril,VERB,Verb {Fe'l}
yuborilganlik,NOUN,Noun {Ot}
yuborilish,NOUN,Noun {Ot}
yuborish,NOUN,Noun {Ot}
yuborish,VERB,Verb {Fe'l}
yubormoq,ADJ,Adjective {Sifat}
yubormoq,NOUN,Noun {Ot}
yubormoq,PRN,Pronoun {Olmosh}
yubortir,VERB,Verb {Fe'l}
yubortiril,VERB,Verb {Fe'l}
yubortirish,NOUN,Noun {Ot}
yuboruv,NOUN,Noun {Ot}
yuboruvchi,NOUN,Noun {Ot}
yufers,NOUN,Noun {Ot}
yuft,NOUN,Noun {Ot}
yug'urma,NOUN,Noun {Ot}
yugan,ADV,Adverb {Ravish}
yugan,NOUN,Noun {Ot}
yuganla,VERB,Verb {Fe'l}
yuganlamoq,ADJ,Adjective {Sifat}
yuganlamoq,NOUN,Noun {Ot}
yuganlamoq,PRN,Pronoun {Olmosh}
yuganlan,VERB,Verb {Fe'l}
yuganlat,VERB,Verb {Fe'l}
yuganlatish,NOUN,Noun {Ot}
yuganli,ADJ,Adjective {Sifat}
yuganli,NOUN,Noun {Ot}
yuganlog‘lik,NOUN,Noun {Ot}
yuganloqliq,NOUN,Noun {Ot}
yuganlov,NOUN,Noun {Ot}
yugansiz,NOUN,Noun {Ot}
yugoslav,NOUN,Noun {Ot}
yugoslaviyalik,NOUN,Noun {Ot}
yugur,VERB,Fe'l
yugur-yugur,NOUN,Noun {Ot}
yugura-yugura,NOUN,Noun {Ot}
yugurdak,ADJ,Adjective {Sifat}
yugurdak,NOUN,Noun {Ot}
yugurdaklik,ADJ,Adjective {Sifat}
yugurdaklik,NOUN,Noun {Ot}
yugurgila,VERB,Verb {Fe'l}
yugurgilamoq,ADJ,Adjective {Sifat}
yugurgilamoq,NOUN,Noun {Ot}
yugurgilamoq,PRN,Pronoun {Olmosh}
yugurgilash,NOUN,Noun {Ot}
yugurib-yelib,NOUN,Noun {Ot}
yugurik,ADJ,Adjective {Sifat}
yugurik,NOUN,Noun {Ot}
yuguriklik,NOUN,Noun {Ot}
yugurish,NOUN,Noun {Ot}
yugurish,VERB,Verb {Fe'l}
yugurishuv,NOUN,Noun {Ot}
yugurmoq,ADJ,Adjective {Sifat}
yugurmoq,NOUN,Noun {Ot}
yugurmoq,PRN,Pronoun {Olmosh}
yugurt,VERB,Verb {Fe'l}
yugurtil,VERB,Verb {Fe'l}
yugurtir,VERB,Verb {Fe'l}
yugurtiril,VERB,Verb {Fe'l}
yugurtirish,NOUN,Noun {Ot}
yugurtirmoq,ADJ,Adjective {Sifat}
yugurtirmoq,NOUN,Noun {Ot}
yugurtirmoq,PRN,Pronoun {Olmosh}
yugurtish,NOUN,Noun {Ot}
yugurtma,NOUN,Noun {Ot}
yugurtmoq,ADJ,Adjective {Sifat}
yugurtmoq,NOUN,Noun {Ot}
yugurtmoq,PRN,Pronoun {Olmosh}
yugurtuv,NOUN,Noun {Ot}
yuguruv,NOUN,Noun {Ot}
yuguruvchi,NOUN,Noun {Ot}
yug‘onlashtirish,NOUN,Noun {Ot}
yug‘ur,VERB,Verb {Fe'l}
yug‘urish,NOUN,Noun {Ot}
yug‘urma,NOUN,Noun {Ot}
yuho,NOUN,Noun {Ot}
yuholik,NOUN,Noun {Ot}
yuk,ADJ,Adjective {Sifat}
yuk,NOUN,Noun {Ot}
yuk-muk,NOUN,Noun {Ot}
yuk-puk,NOUN,Noun {Ot}
yukagirlar,NOUN,Noun {Ot}
yukchi,NOUN,Noun {Ot}
yukchilik,NOUN,Noun {Ot}
yukka,NOUN,Noun {Ot}
yukkash,NOUN,Noun {Ot}
yukkashlik,NOUN,Noun {Ot}
yukla,VERB,Verb {Fe'l}
yuklama,NOUN,Noun {Ot}
yuklamoq,ADJ,Adjective {Sifat}
yuklamoq,NOUN,Noun {Ot}
yuklamoq,PRN,Pronoun {Olmosh}
yuklan,VERB,Verb {Fe'l}
yuklanish,NOUN,Noun {Ot}
yuklat,VERB,Verb {Fe'l}
yuklatil,VERB,Verb {Fe'l}
yuklatish,NOUN,Noun {Ot}
yuklattir,VERB,Verb {Fe'l}
yuklattirish,NOUN,Noun {Ot}
yukli,ADJ,Adjective {Sifat}
yukli,NOUN,Noun {Ot}
yuklov,NOUN,Noun {Ot}
yuklovchi,NOUN,Noun {Ot}
yuksak,ADJ,Adjective {Sifat}
yuksak,NOUN,Noun {Ot}
yuksak-yuksak,NOUN,Noun {Ot}
yuksaklan,VERB,Verb {Fe'l}
yuksaklik,ADJ,Adjective {Sifat}
yuksaklik,NOUN,Noun {Ot}
yuksal,VERB,Verb {Fe'l}
yuksalish,NOUN,Noun {Ot}
yuksalmoq,ADJ,Adjective {Sifat}
yuksalmoq,NOUN,Noun {Ot}
yuksalmoq,PRN,Pronoun {Olmosh}
yuksaltir,VERB,Verb {Fe'l}
yuksaltiril,VERB,Verb {Fe'l}
yuksaltirish,NOUN,Noun {Ot}
yuksaltiruv,NOUN,Noun {Ot}
yuksaluv,NOUN,Noun {Ot}
yukun,VERB,Verb {Fe'l}
yukunish,NOUN,Noun {Ot}
yukunmoq,ADJ,Adjective {Sifat}
yukunmoq,NOUN,Noun {Ot}
yukunmoq,PRN,Pronoun {Olmosh}
yukuntirmoq,NOUN,Noun {Ot}
yukxat,NOUN,Noun {Ot}
yukxona,NOUN,Noun {Ot}
yul,VERB,Verb {Fe'l}
yularmon,NOUN,Noun {Ot}
yularmonlik,NOUN,Noun {Ot}
yulbilarlik,NOUN,Noun {Ot}
yuldir,VERB,Verb {Fe'l}
yuldiril,VERB,Verb {Fe'l}
yuldirish,NOUN,Noun {Ot}
yuldirtir,VERB,Verb {Fe'l}
yuldiruv,NOUN,Noun {Ot}
yuldiruvchi,NOUN,Noun {Ot}
yulduz,NOUN,Ot
yulduzbozlik,NOUN,Noun {Ot}
yulduzcha,ADV,Adverb {Ravish}
yulduzcha,NOUN,Noun {Ot}
yulduzlanmoq,NOUN,Noun {Ot}
yulduzlararo,NOUN,Noun {Ot}
yulduzli,ADJ,Adjective {Sifat}
yulduzli,NOUN,Noun {Ot}
yulduzlik,NOUN,Noun {Ot}
yulduzo‘t,NOUN,Noun {Ot}
yulduzshunos,NOUN,Noun {Ot}
yulduzsimon,ADJ,Adjective {Sifat}
yulduzsimon,NOUN,Noun {Ot}
yulduzsimon,PRN,Pronoun {Olmosh}
yulduzto‘sh,NOUN,Noun {Ot}
yulg'ich,NOUN,Noun {Ot}
yulg'ichlik,ADJ,Adjective {Sifat}
yulg'ichlik,NOUN,Noun {Ot}
yulg'un,ADJ,Adjective {Sifat}
yulg'un,NOUN,Noun {Ot}
yulg'unzor,NOUN,Noun {Ot}
yulg'unzor,PRN,Pronoun {Olmosh}
yulg‘ich,NOUN,Noun {Ot}
yulg‘ichlik,NOUN,Noun {Ot}
yulg‘un,NOUN,Noun {Ot}
yulg‘undoshlar,NOUN,Noun {Ot}
yulg‘unzor,NOUN,Noun {Ot}
yulg‘unzorlik,NOUN,Noun {Ot}
yulian,NOUN,Noun {Ot}
yulib-titib,NOUN,Noun {Ot}
yulib-titmoq,NOUN,Noun {Ot}
yulib-uzib,NOUN,Noun {Ot}
yulib-yulqi,VERB,Verb {Fe'l}
yulib-yulqish,NOUN,Noun {Ot}
yulin,VERB,Verb {Fe'l}
yulinish,NOUN,Noun {Ot}
yulinuv,NOUN,Noun {Ot}
yulish,NOUN,Noun {Ot}
yulish,VERB,Verb {Fe'l}
yulishish,NOUN,Noun {Ot}
yulishmoq,ADJ,Adjective {Sifat}
yulishmoq,NOUN,Noun {Ot}
yulishmoq,PRN,Pronoun {Olmosh}
yulishqoq,NOUN,Noun {Ot}
yulishtirmoq,NOUN,Noun {Ot}
yulishuv,NOUN,Noun {Ot}
yuliy,NOUN,Noun {Ot}
yuliya,NOUN,Noun {Ot}
yulmoq,ADJ,Adjective {Sifat}
yulmoq,NOUN,Noun {Ot}
yulmoq,PRN,Pronoun {Olmosh}
yulqi,VERB,Verb {Fe'l}
yulqib-yala,VERB,Verb {Fe'l}
yulqib-yalash,NOUN,Noun {Ot}
yulqila,VERB,Verb {Fe'l}
yulqilamoq,ADJ,Adjective {Sifat}
yulqilamoq,NOUN,Noun {Ot}
yulqilamoq,PRN,Pronoun {Olmosh}
yulqimoq,ADJ,Adjective {Sifat}
yulqimoq,NOUN,Noun {Ot}
yulqimoq,PRN,Pronoun {Olmosh}
yulqin,VERB,Verb {Fe'l}
yuluq,ADJ,Adjective {Sifat}
yuluq,NOUN,Noun {Ot}
yuluqlik,NOUN,Noun {Ot}
yuluv,NOUN,Noun {Ot}
yuluvchi,NOUN,Noun {Ot}
yum,NOUN,Noun {Ot}
yum,VERB,Verb {Fe'l}
yum-yum,NOUN,Noun {Ot}
yum-yumaloq,NOUN,Noun {Ot}
yumala,VERB,Verb {Fe'l}
yumalab-sumalab,NOUN,Noun {Ot}
yumalab-yumalab,NOUN,Noun {Ot}
yumalamoq,ADJ,Adjective {Sifat}
yumalamoq,NOUN,Noun {Ot}
yumalamoq,PRN,Pronoun {Olmosh}
yumalan,VERB,Verb {Fe'l}
yumalanish,NOUN,Noun {Ot}
yumalanmoq,ADJ,Adjective {Sifat}
yumalanmoq,NOUN,Noun {Ot}
yumalanmoq,PRN,Pronoun {Olmosh}
yumalash,NOUN,Noun {Ot}
yumalash,VERB,Verb {Fe'l}
yumalashish,NOUN,Noun {Ot}
yumalat,VERB,Verb {Fe'l}
yumalatish,NOUN,Noun {Ot}
yumaloq,ADJ,Adjective {Sifat}
yumaloq,NOUN,Noun {Ot}
yumaloq,PRN,Pronoun {Olmosh}
yumaloq-sumaloq,NOUN,Noun {Ot}
yumaloq-yassi,NOUN,Noun {Ot}
yumaloq-yostiq,ADJ,Adjective {Sifat}
yumaloq-yostiq,NOUN,Noun {Ot}
yumaloqbosh,NOUN,Noun {Ot}
yumaloqla,VERB,Verb {Fe'l}
yumaloqlamoq,ADJ,Adjective {Sifat}
yumaloqlamoq,NOUN,Noun {Ot}
yumaloqlamoq,PRN,Pronoun {Olmosh}
yumaloqlan,VERB,Verb {Fe'l}
yumaloqlanganlik,NOUN,Noun {Ot}
yumaloqlanish,NOUN,Noun {Ot}
yumaloqlik,ADJ,Adjective {Sifat}
yumaloqlik,NOUN,Noun {Ot}
yumaloqlov,NOUN,Noun {Ot}
yumaloqqina,NOUN,Noun {Ot}
yumaloqtumshuq,NOUN,Noun {Ot}
yumalov,NOUN,Noun {Ot}
yumdala,VERB,Verb {Fe'l}
yumdalamoq,ADJ,Adjective {Sifat}
yumdalamoq,NOUN,Noun {Ot}
yumdalamoq,PRN,Pronoun {Olmosh}
yumdalan,VERB,Verb {Fe'l}
yumdalanish,NOUN,Noun {Ot}
yumdalash,NOUN,Noun {Ot}
yumdalash,VERB,Verb {Fe'l}
yumdalashish,NOUN,Noun {Ot}
yumdamoq,NOUN,Noun {Ot}
yumdir,VERB,Verb {Fe'l}
yumdirish,NOUN,Noun {Ot}
yumdiruv,NOUN,Noun {Ot}
yumil,VERB,Verb {Fe'l}
yumilganlik,NOUN,Noun {Ot}
yumilish,NOUN,Noun {Ot}
yumiltirish,NOUN,Noun {Ot}
yumiltirmoq,NOUN,Noun {Ot}
yumiluv,NOUN,Noun {Ot}
yuminqiramoq,NOUN,Noun {Ot}
yuminqirash,NOUN,Noun {Ot}
yumma,NOUN,Noun {Ot}
yumma-yumma,NOUN,Noun {Ot}
yummoq,ADJ,Adjective {Sifat}
yummoq,NOUN,Noun {Ot}
yummoq,PRN,Pronoun {Olmosh}
yumor,NOUN,Noun {Ot}
yumor,PRN,Pronoun {Olmosh}
yumorchi,NOUN,Noun {Ot}
yumorchilik,NOUN,Noun {Ot}
yumoreska,NOUN,Noun {Ot}
yumorist,NOUN,Noun {Ot}
yumoristik,ADJ,Adjective {Sifat}
yumoristik,NOUN,Noun {Ot}
yumoristika,NOUN,Noun {Ot}
yumoristiklik,NOUN,Noun {Ot}
yumoristlik,NOUN,Noun {Ot}
yumron,NOUN,Noun {Ot}
yumron,PRN,Pronoun {Olmosh}
yumronqoziq,ADJ,Adjective {Sifat}
yumronqoziq,NOUN,Noun {Ot}
yumsha,VERB,Verb {Fe'l}
yumshal,VERB,Verb {Fe'l}
yumshalish,NOUN,Noun {Ot}
yumshalmoq,ADJ,Adjective {Sifat}
yumshalmoq,NOUN,Noun {Ot}
yumshalmoq,PRN,Pronoun {Olmosh}
yumshamoq,ADJ,Adjective {Sifat}
yumshamoq,NOUN,Noun {Ot}
yumshamoq,PRN,Pronoun {Olmosh}
yumshar,VERB,Verb {Fe'l}
yumsharish,NOUN,Noun {Ot}
yumsharmoq,ADJ,Adjective {Sifat}
yumsharmoq,NOUN,Noun {Ot}
yumsharmoq,PRN,Pronoun {Olmosh}
yumshat,VERB,Verb {Fe'l}
yumshatil,VERB,Verb {Fe'l}
yumshatish,NOUN,Noun {Ot}
yumshatkich,NOUN,Noun {Ot}
yumshatmoq,ADJ,Adjective {Sifat}
yumshatmoq,NOUN,Noun {Ot}
yumshatmoq,PRN,Pronoun {Olmosh}
yumshatqich,NOUN,Noun {Ot}
yumshattir,VERB,Verb {Fe'l}
yumshattiril,VERB,Verb {Fe'l}
yumshoq,ADJ,Adjective {Sifat}
yumshoq,NOUN,Noun {Ot}
yumshoq,PRN,Pronoun {Olmosh}
yumshoq-yumshoq,NOUN,Noun {Ot}
yumshoqbadan,NOUN,Noun {Ot}
yumshoqlan,VERB,Verb {Fe'l}
yumshoqlanish,NOUN,Noun {Ot}
yumshoqlanmoq,ADJ,Adjective {Sifat}
yumshoqlanmoq,NOUN,Noun {Ot}
yumshoqlanmoq,PRN,Pronoun {Olmosh}
yumshoqlik,ADJ,Adjective {Sifat}
yumshoqlik,NOUN,Noun {Ot}
yumshoqqina,NOUN,Noun {Ot}
yumuq,ADJ,Adjective {Sifat}
yumuq,NOUN,Noun {Ot}
yumuqlan,VERB,Verb {Fe'l}
yumuqlik,NOUN,Noun {Ot}
yumurtqa,NOUN,Noun {Ot}
yumush,NOUN,Noun {Ot}
yumushchi,NOUN,Noun {Ot}
yumushkor,NOUN,Noun {Ot}
yumushkor,PRN,Pronoun {Olmosh}
yumushli,ADJ,Adjective {Sifat}
yumushli,NOUN,Noun {Ot}
yumushsiz,ADJ,Adjective {Sifat}
yumushsiz,ADV,Adverb {Ravish}
yumushsiz,NOUN,Noun {Ot}
yuna-yo‘na,NOUN,Noun {Ot}
yundi,NOUN,Noun {Ot}
yundixo'r,NOUN,Noun {Ot}
yunesko,NOUN,Noun {Ot}
yung,NOUN,Noun {Ot}
yungli,ADJ,Adjective {Sifat}
yungli,NOUN,Noun {Ot}
yungsiz,NOUN,Noun {Ot}
yunion,NOUN,Noun {Ot}
yunionizm,NOUN,Noun {Ot}
yunistrel,NOUN,Noun {Ot}
yunker,NOUN,Noun {Ot}
yunon,NOUN,Noun {Ot}
yunon,PRN,Pronoun {Olmosh}
yunon-rum,NOUN,Noun {Ot}
yunoncha,NOUN,Noun {Ot}
yunonistonlik,NOUN,Noun {Ot}
yunonlar,NOUN,Noun {Ot}
yunusobod,NOUN,Noun {Ot}
yunusobodlik,NOUN,Noun {Ot}
yunusova,NOUN,Noun {Ot}
yupan,VERB,Verb {Fe'l}
yupanch,NOUN,Noun {Ot}
yupanchiq,ADJ,Adjective {Sifat}
yupanchiq,NOUN,Noun {Ot}
yupanchli,ADJ,Adjective {Sifat}
yupanchli,NOUN,Noun {Ot}
yupanchsiz,NOUN,Noun {Ot}
yupanish,NOUN,Noun {Ot}
yupanish,VERB,Verb {Fe'l}
yupanmoq,ADJ,Adjective {Sifat}
yupanmoq,NOUN,Noun {Ot}
yupanmoq,PRN,Pronoun {Olmosh}
yupantir,VERB,Verb {Fe'l}
yupantirish,NOUN,Noun {Ot}
yupantiruv,NOUN,Noun {Ot}
yupat,VERB,Verb {Fe'l}
yupata-yupata,NOUN,Noun {Ot}
yupatgulik,ADJ,Adjective {Sifat}
yupatgulik,NOUN,Noun {Ot}
yupatil,VERB,Verb {Fe'l}
yupatiq,NOUN,Noun {Ot}
yupatish,NOUN,Noun {Ot}
yupatish,VERB,Verb {Fe'l}
yupatkich,NOUN,Noun {Ot}
yupatmoq,ADJ,Adjective {Sifat}
yupatmoq,NOUN,Noun {Ot}
yupatmoq,PRN,Pronoun {Olmosh}
yupatqich,NOUN,Noun {Ot}
yupattir,VERB,Verb {Fe'l}
yupatuv,NOUN,Noun {Ot}
yupatuvchan,NOUN,Noun {Ot}
yupatuvchi,NOUN,Noun {Ot}
yupiter,NOUN,Noun {Ot}
yupqa,NOUN,Noun {Ot}
yupqala,VERB,Verb {Fe'l}
yupqalan,VERB,Verb {Fe'l}
yupqalanish,NOUN,Noun {Ot}
yupqalanmoq,ADJ,Adjective {Sifat}
yupqalanmoq,NOUN,Noun {Ot}
yupqalanmoq,PRN,Pronoun {Olmosh}
yupqalash,VERB,Verb {Fe'l}
yupqalashmoq,ADJ,Adjective {Sifat}
yupqalashmoq,NOUN,Noun {Ot}
yupqalashmoq,PRN,Pronoun {Olmosh}
yupqalashtir,VERB,Verb {Fe'l}
yupqalatish,NOUN,Noun {Ot}
yupqalatmoq,NOUN,Noun {Ot}
yupqalik,NOUN,Noun {Ot}
yupqar,VERB,Verb {Fe'l}
yupqarmoq,ADJ,Adjective {Sifat}
yupqarmoq,NOUN,Noun {Ot}
yupqarmoq,PRN,Pronoun {Olmosh}
yupun,NOUN,Noun {Ot}
yupunlik,NOUN,Noun {Ot}
yuq,ADJ,Adjective {Sifat}
yuq,NOUN,Noun {Ot}
yuq,VERB,Verb {Fe'l}
yuq-yurum,NOUN,Noun {Ot}
yuq-yurun,NOUN,Noun {Ot}
yuqa,NOUN,Noun {Ot}
yuqalik,NOUN,Noun {Ot}
yuqish,NOUN,Noun {Ot}
yuqma,NOUN,Noun {Ot}
yuqmoq,ADJ,Adjective {Sifat}
yuqmoq,NOUN,Noun {Ot}
yuqmoq,PRN,Pronoun {Olmosh}
yuqol,VERB,Verb {Fe'l}
yuqori,NOUN,Noun {Ot}
yuqori-quyi,NOUN,Noun {Ot}
yuqorichirchiqlik,NOUN,Noun {Ot}
yuqorida,NOUN,Noun {Ot}
yuqoridagi,NOUN,Noun {Ot}
yuqoridan,NOUN,Noun {Ot}
yuqoridash,VERB,Verb {Fe'l}
yuqoriga,NOUN,Noun {Ot}
yuqorigi,ADJ,Adjective {Sifat}
yuqorigi,NOUN,Noun {Ot}
yuqorila,VERB,Verb {Fe'l}
yuqorilamoq,ADJ,Adjective {Sifat}
yuqorilamoq,NOUN,Noun {Ot}
yuqorilamoq,PRN,Pronoun {Olmosh}
yuqorilan,VERB,Verb {Fe'l}
yuqorilanish,NOUN,Noun {Ot}
yuqorilanmoq,ADJ,Adjective {Sifat}
yuqorilanmoq,NOUN,Noun {Ot}
yuqorilanmoq,PRN,Pronoun {Olmosh}
yuqorilash,NOUN,Noun {Ot}
yuqorilash,VERB,Verb {Fe'l}
yuqorilashmoq,ADJ,Adjective {Sifat}
yuqorilashmoq,NOUN,Noun {Ot}
yuqorilashmoq,PRN,Pronoun {Olmosh}
yuqorilashuv,NOUN,Noun {Ot}
yuqorilat,VERB,Verb {Fe'l}
yuqorilatil,VERB,Verb {Fe'l}
yuqorilatish,NOUN,Noun {Ot}
yuqorilik,ADJ,Adjective {Sifat}
yuqorilik,NOUN,Noun {Ot}
yuqsiz,NOUN,Noun {Ot}
yuqtir,VERB,Verb {Fe'l}
yuqtiril,VERB,Verb {Fe'l}
yuqtirish,NOUN,Noun {Ot}
yuqtirmaslik,NOUN,Noun {Ot}
yuqtirmoq,ADJ,Adjective {Sifat}
yuqtirmoq,NOUN,Noun {Ot}
yuqtirmoq,PRN,Pronoun {Olmosh}
yuqtiruv,NOUN,Noun {Ot}
yuqum,NOUN,Noun {Ot}
yuqumchil,ADJ,Adjective {Sifat}
yuqumchil,NOUN,Noun {Ot}
yuqumli,ADJ,Adjective {Sifat}
yuqumli,NOUN,Noun {Ot}
yuqumsiz,ADJ,Adjective {Sifat}
yuqumsiz,ADV,Adverb {Ravish}
yuqumsiz,NOUN,Noun {Ot}
yuqumsizlantir,VERB,Verb {Fe'l}
yuqumsizlantirish,NOUN,Noun {Ot}
yuqumsizlantirmoq,ADJ,Adjective {Sifat}
yuqumsizlantirmoq,NOUN,Noun {Ot}
yuqumsizlantirmoq,PRN,Pronoun {Olmosh}
yuquvchan,ADJ,Adjective {Sifat}
yuquvchan,ADV,Adverb {Ravish}
yuquvchan,NOUN,Noun {Ot}
yur,VERB,Fe'l
yur-yur,NOUN,Noun {Ot}
yura,NOUN,Noun {Ot}
yura-yura,NOUN,Noun {Ot}
yurag'on,ADJ,Adjective {Sifat}
yurag'on,PRN,Pronoun {Olmosh}
yurak,ADJ,Adjective {Sifat}
yurak,NOUN,Noun {Ot}
yurak-bag‘ir,NOUN,Noun {Ot}
yurak-qalb,NOUN,Noun {Ot}
yurak-tomir,NOUN,Noun {Ot}
yurak-yurakdan,NOUN,Noun {Ot}
yurakburug',NOUN,Noun {Ot}
yurakburug‘,NOUN,Noun {Ot}
yurakdosh,NOUN,Noun {Ot}
yurakdoshlik,NOUN,Noun {Ot}
yurakli,ADJ,Adjective {Sifat}
yurakli,NOUN,Noun {Ot}
yuraklik,NOUN,Noun {Ot}
yuraklilik,NOUN,Noun {Ot}
yurakpora,NOUN,Noun {Ot}
yuraksinmoq,ADJ,Adjective {Sifat}
yuraksinmoq,NOUN,Noun {Ot}
yuraksinmoq,PRN,Pronoun {Olmosh}
yuraksin,VERB,Verb {Fe'l}
yuraksiz,ADJ,Adjective {Sifat}
yuraksiz,ADV,Adverb {Ravish}
yuraksiz,NOUN,Noun {Ot}
yuraksizlik,ADJ,Adjective {Sifat}
yuraksizlik,NOUN,Noun {Ot}
yurakzada,NOUN,Noun {Ot}
yuramol,NOUN,Noun {Ot}
yuramollik,NOUN,Noun {Ot}
yuraver,VERB,Verb {Fe'l}
yurdir,VERB,Verb {Fe'l}
yurdirish,NOUN,Noun {Ot}
yurg'usiz,ADJ,Adjective {Sifat}
yurg'usiz,ADV,Adverb {Ravish}
yurgakbog‘,NOUN,Noun {Ot}
yurgilik,ADJ,Adjective {Sifat}
yurgilik,NOUN,Noun {Ot}
yurgiz,VERB,Verb {Fe'l}
yurgizil,VERB,Verb {Fe'l}
yurgizilmoq,ADJ,Adjective {Sifat}
yurgizilmoq,NOUN,Noun {Ot}
yurgizilmoq,PRN,Pronoun {Olmosh}
yurgizish,NOUN,Noun {Ot}
yurgizmoq,ADJ,Adjective {Sifat}
yurgizmoq,NOUN,Noun {Ot}
yurgizmoq,PRN,Pronoun {Olmosh}
yurgizuv,NOUN,Noun {Ot}
yurgizuvchi,NOUN,Noun {Ot}
yurib-yurib,NOUN,Noun {Ot}
yuridik,ADJ,Adjective {Sifat}
yuridik,NOUN,Noun {Ot}
yuridizatsiya,NOUN,Noun {Ot}
yuril,VERB,Verb {Fe'l}
yurimsak,ADJ,Adjective {Sifat}
yurimsak,NOUN,Noun {Ot}
yurin,VERB,Verb {Fe'l}
yurisdiksiya,NOUN,Noun {Ot}
yurisdiktsiya,NOUN,Noun {Ot}
yurish,NOUN,Noun {Ot}
yurish,VERB,Verb {Fe'l}
yurish-turish,NOUN,Noun {Ot}
yurish-turishlik,NOUN,Noun {Ot}
yurishli,ADJ,Adjective {Sifat}
yurishli,NOUN,Noun {Ot}
yurishmoq,ADJ,Adjective {Sifat}
yurishmoq,NOUN,Noun {Ot}
yurishmoq,PRN,Pronoun {Olmosh}
yurishtir,VERB,Verb {Fe'l}
yurishtirish,NOUN,Noun {Ot}
yuriskonsult,NOUN,Noun {Ot}
yuriskonsultant,NOUN,Noun {Ot}
yuriskonsultantlik,NOUN,Noun {Ot}
yuriskonsultlik,NOUN,Noun {Ot}
yurisprudensiya,NOUN,Noun {Ot}
yurisprudentsiya,NOUN,Noun {Ot}
yurist,NOUN,Noun {Ot}
yuristlik,ADJ,Adjective {Sifat}
yuristlik,NOUN,Noun {Ot}
yurit,VERB,Verb {Fe'l}
yuritil,VERB,Verb {Fe'l}
yuritilganlik,NOUN,Noun {Ot}
yuritilish,NOUN,Noun {Ot}
yuritilmoq,ADJ,Adjective {Sifat}
yuritilmoq,NOUN,Noun {Ot}
yuritilmoq,PRN,Pronoun {Olmosh}
yuritish,NOUN,Noun {Ot}
yuritish,VERB,Verb {Fe'l}
yuritma,NOUN,Noun {Ot}
yuritmoq,ADJ,Adjective {Sifat}
yuritmoq,NOUN,Noun {Ot}
yuritmoq,PRN,Pronoun {Olmosh}
yurittirmoq,NOUN,Noun {Ot}
yurituv,NOUN,Noun {Ot}
yurituvchi,NOUN,Noun {Ot}
yurmoq,ADJ,Adjective {Sifat}
yurmoq,NOUN,Noun {Ot}
yurmoq,PRN,Pronoun {Olmosh}
yurt,NOUN,Noun {Ot}
yurt-el,NOUN,Noun {Ot}
yurt-manzil,NOUN,Noun {Ot}
yurt-vatan,NOUN,Noun {Ot}
yurtboshi,NOUN,Noun {Ot}
yurtchi,NOUN,Noun {Ot}
yurtchilik,ADJ,Adjective {Sifat}
yurtchilik,NOUN,Noun {Ot}
yurtdosh,NOUN,Noun {Ot}
yurtfurush,NOUN,Noun {Ot}
